antecedents,consequents,support,confidence,lift
"DELI, GROCERY, MEAT","DRUG GM, MEAT-PCKGD, PRODUCE",0.014530709648714786,0.3431641791044776,4.610049355207256
"DELI, MEAT","DRUG GM, GROCERY, MEAT-PCKGD, PRODUCE",0.014530709648714786,0.3392351274787535,4.577475603340681
"DELI, MEAT","DRUG GM, MEAT-PCKGD, PRODUCE",0.014535765567172933,0.33935316336166194,4.558852372137227
"DELI, MEAT-PCKGD","DRUG GM, GROCERY, MEAT, PRODUCE",0.014530709648714786,0.3179203539823009,4.436350428492404
"DRUG GM, GROCERY, MEAT, PRODUCE","DELI, MEAT-PCKGD",0.014530709648714786,0.2027656272047411,4.436350428492403
"DRUG GM, MEAT, PRODUCE","DELI, GROCERY, MEAT-PCKGD",0.014530709648714786,0.20085261024530018,4.430764674904911
"DELI, GROCERY, MEAT-PCKGD","DRUG GM, MEAT, PRODUCE",0.014530709648714786,0.32054427838501004,4.4307646749049105
"DELI, MEAT-PCKGD","DRUG GM, MEAT, PRODUCE",0.014535765567172933,0.3180309734513274,4.396024192954864
"DRUG GM, MEAT, PRODUCE","DELI, MEAT-PCKGD",0.014535765567172933,0.20092249633098053,4.396024192954864
"DELI, DRUG GM, MEAT","GROCERY, MEAT-PCKGD, PRODUCE",0.014530709648714786,0.545144157814871,4.339301862761096
"DELI, DRUG GM, GROCERY, MEAT","MEAT-PCKGD, PRODUCE",0.014530709648714786,0.5472201066260473,4.3157051895750485
"DELI, DRUG GM, MEAT","MEAT-PCKGD, PRODUCE",0.014535765567172933,0.5453338391502276,4.300828955614068
"DELI, MEAT","GROCERY, PASTRY, PRODUCE",0.010379800594576011,0.24232766761095373,4.280948974761997
"DELI, MEAT-PCKGD, PRODUCE","DRUG GM, GROCERY, MEAT",0.014530709648714786,0.4117478510028653,4.271414242848774
"MEAT, PASTRY","DELI, GROCERY, PRODUCE",0.010379800594576011,0.3067383833856268,4.224872658292226
"GROCERY, MEAT, PASTRY","DELI, PRODUCE",0.010379800594576011,0.31176917236142754,4.209447816439486
"DELI, GROCERY, MEAT","PASTRY, PRODUCE",0.010379800594576011,0.24513432835820895,4.2072742569692325
"DELI, GROCERY, MEAT-PCKGD, PRODUCE","DRUG GM, MEAT",0.014530709648714786,0.4128717138342192,4.200024200783961
"DELI, MEAT-PCKGD, PRODUCE","DRUG GM, MEAT",0.014535765567172933,0.41189111747851,4.190048878457004
"DELI, MEAT","PASTRY, PRODUCE",0.010405080186866747,0.24291784702549574,4.169232482426133
"MEAT, PASTRY","DELI, PRODUCE",0.010405080186866747,0.30748543254146127,4.151609579596596
"MEAT, NUTRITION","MEAT-PCKGD, PRODUCE",0.010010718547131273,0.523532522474881,4.128890727511534
"DELI, DRUG GM, MEAT-PCKGD","GROCERY, MEAT, PRODUCE",0.014530709648714786,0.5148692225008957,4.094196670285336
"DRUG GM, GROCERY, MEAT, PASTRY","MEAT-PCKGD, PRODUCE",0.010035998139422008,0.5142487046632125,4.055672985283603
"DRUG GM, MEAT, PASTRY","GROCERY, MEAT-PCKGD, PRODUCE",0.010035998139422008,0.5094969199178645,4.0555528330937936
"GROCERY, MEAT, PASTRY","DRUG GM, MEAT-PCKGD, PRODUCE",0.010035998139422008,0.3014426727410782,4.049564854724743
"DELI, DRUG GM, GROCERY, MEAT-PCKGD","MEAT, PRODUCE",0.014530709648714786,0.5165348670021568,4.03063077581657
"DRUG GM, MEAT, PASTRY","MEAT-PCKGD, PRODUCE",0.010056221813254596,0.510523613963039,4.026294691116933
"DELI, DRUG GM, MEAT-PCKGD","MEAT, PRODUCE",0.014535765567172933,0.5150483697599427,4.0190313235522765
"MEAT, PASTRY","DRUG GM, GROCERY, MEAT-PCKGD, PRODUCE",0.010035998139422008,0.29657851486627823,4.001887794949614
"DELI, GROCERY, MEAT","MEAT-PCKGD, PRODUCE",0.02147754161020891,0.5072238805970148,4.000271019399592
