Segment,n_treat,n_ctrl,ARPU_treat,ARPU_ctrl,ATE,Lift_pct,t_stat,p_value,sig,u_stat,u_pval,cohens_d,CI_lower,CI_upper,retention_treat,retention_ctrl,freq_treat,freq_ctrl
Champions,220,5,1845.2604090909092,3943.9680000000008,,,,,N/A,,,,,,99.0909090909091,100.0,94.55,83.0
Loyal Customers,376,113,1589.7071542553192,514.3672566371681,1075.339897618151,209.06072144803923,13.731668845811468,3.2740784069907856e-35,***,35609.5,1.078578208689524e-27,1.0469632284781938,920.6218115526738,1227.658307116127,99.7340425531915,92.03539823008849,33.04255319148936,10.964601769911505
Promising,979,701,728.1474565883555,264.19328102710415,463.9541755612513,175.61164831956998,21.718703275943973,1.453823196889713e-91,***,547697.5,1.1651888822959278e-96,0.9780383425435316,421.54954390124135,506.02358702182346,99.48927477017364,95.57774607703281,34.31664964249234,13.463623395149787
Needs Attention,9,95,350.9988888888889,136.41589473684212,,,,,N/A,,,,,,88.88888888888889,77.89473684210526,16.666666666666668,6.6
