Metric,Naive (Unmatched),PSM Matched
Treatment n,"1,584",214
Control n,914,214
Treatment ARPU ($),"$1,085.67",$507.29
Control ARPU ($),$301.97,$535.07
ATE ($),$783.70,$-27.78
Lift (%),+259.5%,-5.2%
Welch t-stat,25.505,-0.347
Welch p-value,0.0000,0.7287
Mann-Whitney U,"1,209,028","23,686"
Mann-Whitney p,0.0000,0.5385
Cohen's d,0.930,-0.034
Bootstrap 95% CI lower ($),—,$-198.97
Bootstrap 95% CI upper ($),—,$112.66
Required n per arm (MDE=10%),—,"4,574"
Observed power,—,8.60%
