household_key,Recency,Frequency,T,Gross_Sales,Net_Sales,avg_monetary,total_baskets,avg_basket_size,avg_transaction_value,distinct_stores,tenure_weeks,coupon_usage_rate,first_purchase_week,last_purchase_week,Cluster,predicted_purchases_6_months,predicted_clv_6_months
197,1,29,63,933.07,841.62,28.054,30,15.3,28.054,2,62,0.0,12,74,1,13.6116,321.3482
198,0,414,63,6849.4,5374.21,12.9499,415,8.5229,12.9499,2,63,0.0361,12,75,0,157.8913,1410.3738
199,0,38,64,295.68,242.95,6.2295,39,4.5128,6.2295,1,64,0.0256,11,75,1,15.4217,99.5205
200,0,32,71,501.33,430.05,13.0318,33,7.0,13.0318,1,71,0.0,4,75,1,11.3414,95.2721
201,1,13,57,402.03,257.79,18.4136,14,17.2143,18.4136,3,56,0.1429,18,74,1,6.344,110.0194
202,4,30,66,656.88,575.46,18.5632,31,686.2903,18.5632,3,62,0.0,9,71,1,15.6604,401.0264
203,2,30,59,782.47,662.35,21.3661,31,2138.4839,21.3661,2,57,0.0645,16,73,1,13.462,178.4375
204,4,35,61,695.05,522.69,14.5192,36,1157.6389,14.5192,7,57,0.0556,14,71,1,16.9685,178.9231
205,0,59,65,1659.6799,1444.3099,24.0718,60,170.6167,24.0718,5,65,0.0167,10,75,1,15.6616,291.2684
206,34,13,66,363.77,288.83,20.6307,14,11.5714,20.6307,2,32,0.0714,9,41,2,5.0716,102.9865
207,0,11,65,643.43,574.04,47.8367,12,1050.1667,47.8367,6,65,0.0,10,75,1,3.7172,162.2799
208,0,99,67,3114.33,2223.35,22.2335,100,1633.31,22.2335,4,67,0.4,8,75,1,30.1071,949.6993
209,0,121,61,4533.7,3612.49,29.6106,122,1581.877,29.6106,4,61,0.1967,14,75,0,43.2667,1626.3642
210,1,93,72,2499.37,1823.84,19.4026,94,13.234,19.4026,4,71,0.0638,3,74,1,31.4125,689.8199
211,0,61,61,1671.29,1375.83,22.1908,62,16.6935,22.1908,4,61,0.0,14,75,1,31.2268,718.6413
212,0,87,74,2348.64,2004.97,22.7837,88,304.3182,22.7838,7,74,0.0227,1,75,1,23.4451,589.3462
213,0,7,63,523.87,444.01,55.5012,8,42.625,55.5012,2,63,0.125,12,75,1,2.9066,130.0485
214,0,59,58,1798.32,1445.4299,24.0905,60,14.0667,24.0905,3,58,0.0667,17,75,1,24.0073,716.5709
215,0,83,65,1010.2,813.12,9.68,84,338.7381,9.68,15,65,0.0595,10,75,1,31.094,227.9363
216,0,73,74,1491.84,1311.7999,17.727,74,9.3243,17.727,8,74,0.027,1,75,1,31.3446,684.6964
217,2,47,66,1714.31,1291.52,26.9067,48,2743.0625,26.9067,2,64,0.0833,9,73,1,20.619,746.2968
218,0,127,59,6688.63,6018.7197,47.0212,128,5094.1406,47.0212,2,59,0.0156,16,75,0,73.1291,3624.7497
219,0,150,66,8027.42,7037.12,46.6034,151,540.7219,46.6034,7,66,0.0199,9,75,0,57.2929,2554.9711
220,0,75,69,2021.46,1620.71,21.3251,76,2546.6842,21.3251,2,69,0.0395,6,75,1,24.5888,579.55
221,0,52,60,1898.84,1449.4299,27.3477,53,543.0755,27.3477,2,60,0.0377,15,75,1,21.5467,288.1487
222,1,102,68,4693.68,4167.76,40.4637,103,1934.5631,40.4637,8,67,0.0291,7,74,0,40.9381,1786.5307
223,1,89,73,2256.63,1841.19,20.4577,90,171.1889,20.4577,10,72,0.0,2,74,1,32.8381,653.0208
224,1,32,67,1023.46,700.95,21.2409,33,19.5455,21.2409,5,66,0.0,8,74,1,9.9968,209.6698
225,0,36,67,622.24,521.42,14.0924,37,7.4595,14.0924,4,67,0.0,8,75,1,14.2253,239.1975
226,17,44,72,1086.8,845.05,18.7789,45,984.7111,18.7789,5,55,0.0,3,58,1,16.631,306.5275
227,0,80,66,901.04,471.48,5.8207,81,102.5556,5.8207,6,66,0.0494,9,75,1,52.1416,228.225
228,0,60,63,1983.32,1527.0,25.0328,61,1151.4918,25.0328,6,63,0.0328,12,75,1,36.0417,870.8864
229,1,30,69,817.92,519.0,16.7419,31,15.2581,16.7419,3,68,0.0968,6,74,1,9.5309,162.2831
230,0,108,60,3060.14,2356.65,21.6206,109,1258.7615,21.6206,5,60,0.0183,15,75,1,44.1859,983.1745
231,10,8,70,325.68,214.51,23.8344,9,2151.4444,23.8344,5,60,0.1111,5,65,1,2.2174,55.0347
232,0,566,64,10614.74,8676.83,15.3031,567,741.9965,15.3031,1,64,0.0582,11,75,0,204.3157,4054.4236
233,16,4,59,55.74,42.69,8.538,5,6.0,8.538,3,43,0.2,16,59,1,1.8776,12.219
234,7,15,63,237.64,192.48,12.03,16,7.75,12.03,4,56,0.0,12,68,1,7.8789,99.0388
235,1,148,73,9193.86,8299.42,55.7008,149,2007.1745,55.7008,7,72,0.047,2,74,0,45.5601,3503.4712
236,0,35,67,1273.27,881.45,24.4847,36,18.3333,24.4847,5,67,0.1389,8,75,1,11.9165,189.108
237,8,4,58,413.83,345.55,69.11,5,37.6,69.11,1,50,0.2,17,67,1,1.1671,84.3607
238,0,17,70,444.59,385.35,21.4083,18,9.3889,21.4083,2,70,0.0,5,75,1,6.1122,113.037
239,0,198,70,3011.85,2212.65,11.1188,199,11.0452,11.1188,1,70,0.2312,5,75,0,59.4649,602.6552
240,12,15,74,157.26,90.85,5.6781,16,3.625,5.6781,9,62,0.0,1,63,1,4.7407,21.469
241,12,13,59,177.47,139.33,9.9521,14,5.3571,9.9521,5,47,0.0,16,63,1,4.8073,45.8572
242,0,61,64,3651.05,3152.08,50.84,62,25.7581,50.84,3,64,0.0806,11,75,1,24.3184,1959.0837
243,0,173,66,5488.19,4866.9697,27.9711,174,2702.6839,27.9711,6,66,0.0517,9,75,0,47.9514,977.748
244,0,31,67,1124.81,953.56,29.7987,32,19.4375,29.7988,3,67,0.0312,8,75,1,8.9709,199.5459
245,0,31,74,762.48,550.23,17.1947,32,2187.5312,17.1947,4,74,0.0,1,75,1,16.6743,207.0552
246,0,37,70,712.14,589.03,15.5008,38,101.5789,15.5008,4,70,0.0,5,75,1,10.6231,253.6058
247,0,22,64,418.7,346.31,15.057,23,7.2609,15.057,8,64,0.0,11,75,1,7.1771,96.27
248,0,25,70,3486.59,1987.04,76.4246,26,71.9615,76.4246,5,70,0.3077,5,75,1,13.4081,1018.1624
249,1,84,63,1625.46,1377.2101,16.2025,85,207.3765,16.2025,5,62,0.1647,12,74,1,61.9788,908.0159
250,0,72,59,3118.18,2646.92,36.2592,73,19.3425,36.2592,4,59,0.274,16,75,1,25.1011,718.7397
251,2,62,71,1741.23,1361.57,21.6122,63,127.381,21.6122,9,69,0.0159,4,73,1,21.0922,429.8222
252,10,7,58,77.79,70.88,8.86,8,3.5,8.86,4,48,0.0,17,65,1,3.3598,55.0357
253,0,299,72,7984.7905,5389.19,17.964,300,186.59,17.964,9,72,0.13,3,75,0,152.5685,3881.5934
254,2,25,72,234.48,198.18,7.6223,26,5.3462,7.6223,4,70,0.0,3,73,1,7.4108,45.6397
255,7,12,74,448.68,347.65,26.7423,13,12.2308,26.7423,3,67,0.0,1,68,1,4.0144,126.2195
256,1,95,70,7270.5,6385.76,66.5183,96,1177.8854,66.5183,8,69,0.2812,5,74,0,41.2209,2227.2927
257,0,91,66,1764.89,1288.48,14.0052,92,171.3261,14.0052,11,66,0.0109,9,75,1,39.1052,351.2827
258,0,168,68,1908.58,1331.73,7.8801,169,225.8107,7.8801,13,68,0.0651,7,75,1,59.5801,605.794
259,0,36,73,756.2,671.71,18.1543,37,6.7027,18.1543,1,73,0.0,2,75,1,12.4833,302.8756
260,8,22,58,312.87,269.21,11.7048,23,296.3478,11.7048,3,50,0.0,17,67,1,7.4911,113.8895
261,1,41,59,1163.25,1045.17,24.885,42,3165.8095,24.885,1,58,0.0238,16,74,1,17.2273,381.189
262,0,197,60,4362.35,3628.63,18.3264,198,9.7879,18.3264,4,60,0.0354,15,75,0,80.9376,1422.7216
263,0,227,61,4249.64,3453.64,15.1475,228,8.5175,15.1475,7,61,0.0439,14,75,0,101.3527,1851.7447
264,1,48,66,1401.35,1088.53,22.2149,49,221.3469,22.2149,4,65,0.0,9,74,1,16.9214,414.5587
265,4,41,58,1609.93,1224.69,29.1593,42,104.9762,29.1593,5,54,0.0238,17,71,1,20.197,533.7341
266,1,42,63,1991.75,1671.4299,38.8705,43,704.8605,38.8705,2,62,0.0465,12,74,1,21.2249,550.3983
267,0,20,68,261.73,241.97,11.5224,21,337.7143,11.5224,4,68,0.0,7,75,1,7.8885,93.5194
268,3,24,59,552.17,408.83,16.3532,25,10.68,16.3532,10,56,0.12,16,72,1,11.3471,243.0191
269,9,39,60,729.66,625.02,15.6255,40,6.1,15.6255,1,51,0.0,15,66,1,17.0806,197.8387
270,5,22,60,576.09,375.54,16.3278,23,631.7826,16.3278,6,55,0.1739,15,70,1,9.5335,182.6132
271,1,87,74,709.71,604.0,6.8636,88,3.8409,6.8636,1,73,0.0114,1,74,1,26.4598,197.304
272,9,6,63,401.62,326.05,46.5786,7,1569.1429,46.5786,2,54,0.1429,12,66,1,2.638,148.2201
273,0,79,72,1422.01,1265.07,15.8134,80,6.925,15.8134,5,72,0.0,3,75,1,27.9781,550.1949
274,10,9,63,54.81,49.53,4.953,10,2.9,4.953,4,53,0.0,12,65,1,5.6453,23.5046
275,0,208,60,4180.7,3418.77,16.3578,209,668.067,16.3578,5,60,0.0096,15,75,0,123.4654,1348.0657
276,1,137,64,4613.35,3618.07,26.2179,138,1397.2754,26.2179,6,63,0.0072,11,74,0,60.1213,1379.4308
277,2,24,69,334.8,222.8,8.912,25,5.24,8.912,2,67,0.08,6,73,1,7.7635,86.4108
278,1,53,68,1679.28,1370.66,25.3826,54,12.3889,25.3826,1,67,0.037,7,74,1,16.2225,359.5889
279,1,40,63,1397.55,1081.37,26.3749,41,2513.5122,26.3749,3,62,0.2683,12,74,1,20.9486,464.5048
280,1,68,73,1604.16,1175.19,17.0317,69,1141.0725,17.0317,1,72,0.0,2,74,1,25.5259,275.7331
281,0,60,72,1160.67,831.14,13.6252,61,93.0492,13.6252,5,72,0.082,3,75,1,23.8505,503.6525
282,0,78,66,2821.93,2381.95,30.1513,79,1401.9747,30.1513,4,66,0.1013,9,75,1,21.6766,803.4298
283,0,40,69,2822.38,2394.88,58.4117,41,25.7317,58.4117,5,69,0.0976,6,75,1,18.1443,1284.7859
284,12,17,61,502.74,442.26,24.57,18,799.4444,24.57,6,49,0.0,14,63,1,7.9353,248.3347
285,0,130,63,2909.57,2305.49,17.5992,131,964.0229,17.5992,9,63,0.0305,12,75,1,42.966,873.4411
286,7,26,65,785.21,705.75,26.1389,27,12.5185,26.1389,5,58,0.0,10,68,1,9.4641,232.7217
287,0,182,73,2086.91,1752.61,9.5771,183,412.7268,9.5771,11,73,0.0055,2,75,1,68.3326,628.1764
288,1,63,59,2262.69,2014.26,31.4728,64,2434.25,31.4728,6,58,0.0,16,74,1,28.0556,793.4732
289,0,122,58,3810.76,3398.46,27.6298,123,3691.6098,27.6298,9,58,0.0081,17,75,1,51.5855,2754.0296
290,0,198,63,3682.92,2889.76,14.5214,199,13.1859,14.5214,8,63,0.0151,12,75,0,80.0404,1335.5956
291,0,33,59,1494.65,1176.94,34.6159,34,27.7941,34.6159,4,59,0.0294,16,75,1,13.8277,426.2535
292,0,64,58,794.33,640.33,9.8512,65,107.5846,9.8512,6,58,0.0308,17,75,1,29.5785,327.3456
293,0,92,74,3252.35,2648.9,28.4828,93,14.4194,28.4828,5,74,0.0108,1,75,1,43.3852,959.7776
294,0,201,73,4140.19,2910.51,14.4085,202,81.6139,14.4085,3,73,0.0941,2,75,0,42.8459,899.2448
